block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
SVCBlock,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
SVCBlock,id,Attribute,Attribute,str,-,-,,optional,Id of the block
SVCBlock,name,Attribute,Attribute,str,-,-,,optional,Name of the block
SVCBlock,NSamples,Dimension,Dimension,int,-,-,,required,Number of samples of the training set
SVCBlock,NFeatures,Dimension,Dimension,int,-,-,,required,Number of features of each sample
SVCBlock,X,Variable,Variable,double,NSamples-NFeatures,-,,required,Samples of the training set
SVCBlock,Y,Variable,Variable,double,NSamples,-,,required,"Labels of the samples, either +1 or -1"
SVCBlock,C,Variable,Variable,double,-,-,1.0,optional,Trade-off between the margin and the training errors
SVCBlock,Kernel,Variable,Variable,int,-,-,0.0,optional,"Kernel: 0 = linear, 1 = polynomial, 2 = gaussian, 3 = laplacian, 4 = sigmoid"
SVCBlock,Gamma,Variable,Variable,double,-,-,0.0,optional,"Parameter of the kernel; 0 = 1 / ( NFeatures Var( X ) ), -1 = 1 / NFeatures"
SVCBlock,Degree,Variable,Variable,int,-,-,3.0,optional,Degree of the polynomial kernel
SVCBlock,Coef0,Variable,Variable,double,-,-,0.0,optional,Constant term of the polynomial and sigmoid kernels
SVCBlock,SquaredLoss,Variable,Variable,int,-,-,0.0,optional,Nonzero if the training errors are penalised quadratically
SVCBlock,RegBias,Variable,Variable,int,-,-,0.0,optional,Nonzero if the bias is regularised together with the weights
