block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
StochasticBlock,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
StochasticBlock,id,Attribute,Attribute,str,-,-,,optional,Id of the block
StochasticBlock,NumberDataMappings,Dimension,Dimension,int,-,-,0,optional,Number of data mappings; zero is assumed when the dimension is absent
StochasticBlock,SetSizeSize,Dimension,Dimension,int,-,-,,optional,Fixture-era dimension of SetSize
StochasticBlock,SetElementsSize,Dimension,Dimension,int,-,-,,optional,Fixture-era dimension of SetElements
StochasticBlock,SetSize_dim,Dimension,Dimension,int,-,-,,optional,Current-format dimension of SetSize
StochasticBlock,SetElements_dim,Dimension,Dimension,int,-,-,,optional,Current-format dimension of SetElements
StochasticBlock,FunctionName,Variable,Variable,str,NumberDataMappings,-,,optional,Registered mapping function names; required when NumberDataMappings is greater than zero
StochasticBlock,DataType,Variable,Variable,str,NumberDataMappings,-,D,optional,Type of the data mapped; double is assumed when absent
StochasticBlock,Caller,Variable,Variable,str,-|NumberDataMappings,-,,optional,Name of the caller
StochasticBlock,SetSize,Variable,Variable,int,SetSizeSize|SetSize_dim,-,,optional,Size of each mapped source and target set; ranges are assumed when absent
StochasticBlock,SetElements,Variable,Variable,int,SetElementsSize|SetElements_dim,-,,optional,Concatenated mapped ranges or subsets; required when NumberDataMappings is greater than zero
StochasticBlock,AbstractPath,Block,Group,AbstractPath,list,-,-,optional,Paths to mapping callers; required when NumberDataMappings is greater than zero
StochasticBlock,Block,Block,Group,Block|BendersBlock,-,-,-,optional,Inner deterministic block; may be inherited from the default StochasticBlock in an SDDPBlock
