component,nctype,list_name,description,type
Attribute,Attribute,attributes,"Attributes of the netCDF group"
Dimension,Dimension,dimensions,"Dimensions of the netCDF group"
Variable,Variable,variables,"Variables of the netCDF group"
Block,Block,blocks,"SMS++ block"
UCBlock,Block,blocks,"Unit commitment block"
ThermalUnitBlock,Block,blocks,"Thermal unit block"
HydroUnitBlock,Block,blocks,"Hydro unit block"
HydroSystemUnitBlock,Block,blocks,"Hydro system unit block"
PolyhedralFunctionBlock,Block,blocks,"Polyhedral function block"
BatteryUnitBlock,Block,blocks,"Battery unit block"
SlackUnitBlock,Block,blocks,"Slack unit block"
IntermittentUnitBlock,Block,blocks,"Battery unit block"
InvestmentBlock,Block,blocks,"Investment block"
TwoStageStochasticBlock,Block,blocks,"Two-stage stochastic block"
StochasticBlock,Block,blocks,"Stochastic block"
StaticAbstractPath,Block,blocks,"Static abstract path block useful to describe custom Paths, such as needed in StochasticBlock"
DiscreteScenarioSet,Block,blocks,"Discrete scenario set block useful to describe custom scenario sets, such as needed in StochasticBlock"
AbstractPath,Block,blocks,"Abstract path block useful to describe custom Paths, such as needed in StochasticBlock"
DesignNetworkBlock,Block,blocks,"Design network block useful to enable capacity expansion of the network within UCBlock"
SDDPBlock,Block,blocks,"SDDP block useful to describe stochastic problems with SDDP approach"
SVCBlock,Block,blocks,"Support Vector Classification block, i.e., the training problem of a binary classifier"
SVRBlock,Block,blocks,"Support Vector Regression block, i.e., the training problem of a regressor"
SVMBlockSolution,Block,blocks,"Solution of a SVCBlock or a SVRBlock, i.e., a trained Support Vector Machine"
